priref;rce_id;institution_name;institution_place;material_1;material_2;category;object_name;creator_name;creator_birth_date;creator_death_date;creator_digital_reference;cretor_gender;Production/0/creator/gender/text/1/_language;Production/0/creator/gender/text/1/__text;creator_pob;creator_pod;production_place;title;acquisition_source;acquisition_place;associated_subject
53041;rce_53041;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;paneel;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;;Maria van Sassen (1608-1678);Marle-van Beresteijn, jvr. Paula V. van;Wassenaar;portret
53071;rce_53071;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;pastel;onbekend;;;;unknown;1;onbekend;;;Nederland;Jan Maximiliaan du Celiée Muller (overleden 1929);Harmsen, mw. L.;Amsterdam;werk op papier
53110;rce_53110;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;drukinkt;papier;oude kunst;litho;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;Gisbertus Voetius (1588-1678), theoloog en predikant;Wijckerheld Bisdom, dr. Christine J. en mr. Marie;Den Haag;prent
53111;rce_53111;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;drukinkt;papier;oude kunst;kopergravure;Schouman, A.;1710-03;1792-07-09;;male;1;man;DORDRECHT;Den Haag;;Gisbertus Voetius (1588-1678), theoloog en predikant;Wijckerheld Bisdom, dr. Christine J. en mr. Marie;Den Haag;prent
53144;rce_53144;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;;Anne Marie Tixon (1752-1835);Nypels, dhr. A.;Wassenaar;portret
53164;rce_53164;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Loots, F.A.M.;1863-12-08;14-07-24;https://rkd.nl/explore/artists/50848;male;1;man;Amsterdam;Haarlem;;Wilhelmina Elisabeth Kuler (1846-1919);Boyen-Kettler, dhr. dr. G.A.M.;Wassenaar;portret
53222;rce_53222;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;inkt;;oude kunst;miniatuur;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;Frederika Louise Wilhelmina (1774-1848), Gravin van Heiden-Reinestein;Savornin Lohman, jhr. mr. A.F. en R.C.C. de;BLOEMENDAAL;
53306;rce_53306;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;La Garenne, Félicité;1794;1828;;female;1;vrouw;Reims;;;Willem Frederik graaf van Bylandt (1771-1855);Bylandt, mr. W.F.L. graaf van;Impruneta[IT];portret
53457;rce_53457;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;paneel;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;;Portret van een weduwe;Heeckeren van Enghuizen, Marguérite Chr. barones v;Hummelo en Keppel;portret
53510;rce_53510;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;paneel;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;;Lodewijk (1538-1574), Graaf van Nassau;Heeckeren van Enghuizen, Marguérite Chr. barones v;Hummelo en Keppel;portret
53533;rce_53533;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;;Emilia van Nassau-Beverweerd (1635-1688), met een bediende;Heeckeren van Enghuizen, Marguérite Chr. barones v;Hummelo en Keppel;portret
53737;rce_53737;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;dekverf;ivoor;oude kunst;miniatuur;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;Johanna Pieternella de Mauregnault (1779-1842);Eilbracht, ir.;;miniatuur
53965;rce_53965;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;pastelkrijt;papier;oude kunst;aquarel;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;Jacobs vlucht voor Laban;Beresteyn-Tromp, jvr. douairière G.A. van;Den Haag;werk op papier
54023;rce_54023;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;drukinkt;;oude kunst;litho;Mourot, J.F.M.;1803-10-11;1847-06-27;https://rkd.nl/explore/artists/58061;male;1;man;Metz;UTRECHT;;Agneta Theodora van Teylingen (1755-1834). Echtgenote van Hendrik Justus van Oldenbarneveld, genaamd Witte Tullingh;Hooft Graafland, jhr. H.J.P.;ZEIST;prent
54024;rce_54024;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;litho;Groeneveldt, A.J.;1824-11-20;1883-05-11;;male;1;man;UTRECHT;UTRECHT;;Portret van een vrouw;Hooft Graafland, jhr. H.J.P.;ZEIST;prent
54037;rce_54037;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;stippelgravure;Stothard, T.;1755-08-17;1834-04-27;https://rkd.nl/explore/artists/75564;male;1;man;LONDEN;LONDEN;;The tenant's family;onbekend;;prent
54163;rce_54163;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;ENGELAND;Francis Herbert (1710-1755). Echtgenote van J.A.J. Bigot de Villandry;Schuylenburch van Bommenede, jhr. Frank L. van;Drempt;portret
54173;rce_54173;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;pentekening;Koningh, L. de (1810);1810-08-29;1887-02-17;;male;1;man;LONDEN;DORDRECHT;;Wilhelmina Cornelia van den Brandeler (1854-1954);Brandeler, jhr. mr. P.A.J. van den;Den Haag;werk op papier
54260;rce_54260;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;sepia;krijt (rood);oude kunst;miniatuur;Monogrammist A.R.;;;;unknown;1;onbekend;;;;Daniël Radermacher (1722-1803), heer van Nieuwerkerk;Brandeler, jhr. mr. P.A.J. van den;Den Haag;werk op papier
57830;rce_57830;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;paneel;;moderne kunst;schilderij;Helfferich, F.W.;1871-02-09;11-06-41;https://rkd.nl/explore/artists/37232;male;1;man;Den Haag;Den Haag;;Witte koe;Rede, Willem van;Rotterdam;
58003;rce_58003;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;zeildoek;stoffeerdersnagels (metaal);toegepaste kunst;bureaustoel;Horrix, fa. Gebrs.;1842;1890;https://rkd.nl/explore/artists/373974;male;1;man;Den Haag;;Den Haag?;-;Rede, Willem van;Rotterdam;meubel
58056;rce_58056;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;eikenhout;fluweel;toegepaste kunst;canapé;Horrix, fa. Gebrs.;1842;1890;https://rkd.nl/explore/artists/373974;male;1;man;Den Haag;;Den Haag?;-;Rede, Willem van;Rotterdam;meubel
58690;rce_58690;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Rivière, A.P. de la;1857-04-05;27-04-41;https://rkd.nl/explore/artists/89873;male;1;man;Rotterdam;Rotterdam;;Interieur van een paardenstal;Rede, Willem van;Rotterdam;interieur
58790;rce_58790;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;karton;;moderne kunst;schilderij;Cachoud, F.C.;1866-10-23;29-01-43;https://rkd.nl/explore/artists/14659;male;1;man;Chambéry;Saint-Alban-de-Montbel;;Wit huis bij maanlicht St. Alban de Montbel;Rede, Willem van;Rotterdam;landschap
58940;rce_58940;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt;olieverf;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;Zuidelijke Nederlanden;Het Laatste Oordeel;Rede, Willem van;Rotterdam;bijbel
59575;rce_59575;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Schildt, M.;1867-08-29;14-06-21;https://rkd.nl/explore/artists/90085;male;1;man;Rotterdam;Rotterdam;;Een meisje die sinaasappelen schilt;Rede, Willem van;Rotterdam;
59737;rce_59737;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;paneel;;moderne kunst;schilderij;Boasson, I.H.E.;1875-11-21;06-03-26;https://rkd.nl/explore/artists/9416;male;1;man;MIDDELBURG;PARIJS;;Oosterse stad;Rede, Willem van;Rotterdam;
59774;rce_59774;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;litho;Mesdag, H.W.;1831-02-23;10-07-15;https://rkd.nl/explore/artists/55468;male;1;man;GRONINGEN;Den Haag;;Twee bomschuiten;Rede, Willem van;Rotterdam;prent
59842;rce_59842;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Maes, Nicolaes;1634;1693-12;https://rkd.nl/explore/artists/51906;male;1;man;DORDRECHT;Amsterdam;;Portret van een vrouw;Rede, Willem van;Rotterdam;portret
59855;rce_59855;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;oude kunst;figuurplastiek;onbekend;;;;unknown;1;onbekend;;;;Abdis met zwaard;Rede, Willem van;Rotterdam;beeldhouwkunst
62330;rce_62330;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;ets;Bauer, M.A.J.;1867-01-25;18-07-32;https://rkd.nl/explore/artists/5113;male;1;man;Den Haag;Amsterdam;Nederland;Tempel te Mendoet;onbekend;;prent
83503;rce_83503;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;tafelkleed;onbekend;;;;unknown;1;onbekend;;;Nederland? Frankrijk?;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;kleed
83674;rce_83674;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;vurenhout;flanel;toegepaste kunst;pruikenbol;onbekend;;;;unknown;1;onbekend;;;;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;standaard
84587;rce_84587;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;lessenaar;Deursen, P.P. van;1860-01-14;28-03-29;https://rkd.nl/explore/artists/22336;male;1;man;Den Haag;Den Haag;Nederland;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;meubel
84829;rce_84829;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;marmer;;oude kunst;figuurplastiek;Greuze, J.B.;1725-08-21;1805-03-21;https://rkd.nl/explore/artists/33710;male;1;man;Tournus;PARIJS;;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;beeldhouwkunst
85249;rce_85249;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;vurenhout;palissanderhout;toegepaste kunst;werktafel;onbekend;;;;unknown;1;onbekend;;;Frankrijk?;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;tafel
85412;rce_85412;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;vurenhout;;toegepaste kunst;tafel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;tafel
85423;rce_85423;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;iepenhout;bekledingsstof;toegepaste kunst;taboeret;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;kruk
85515;rce_85515;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;marmer;verf;toegepaste kunst;penanttafel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Paleis Huis ten Bosch;;meubel
85687;rce_85687;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;eikenhout;spiegelglas;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;meubel
85711;rce_85711;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;notenhout;toegepaste kunst;buffet;Horrix, fa. Gebrs.;1842;1890;https://rkd.nl/explore/artists/373974;male;1;man;Den Haag;;Den Haag;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;buffet
85858;rce_85858;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;spiegelglas;toegepaste kunst;toiletspiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;spiegel
85955;rce_85955;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;iepenhout;ribfluweel;toegepaste kunst;fauteuil;Horrix, fa. Gebrs.;1842;1890;https://rkd.nl/explore/artists/373974;male;1;man;Den Haag;;Den Haag;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;bergère
86027;rce_86027;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glazuur;;toegepaste kunst;melkkan;onbekend;;;;unknown;1;onbekend;;;;-;Erven H.K.H. prinses Juliana der Nederlanden;Den Haag;keramiek
87316;rce_87316;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;ebbenhout;;toegepaste kunst;schilderijlijst;Bosch, J.P. van den;1868-10-19;27-08-48;https://rkd.nl/explore/artists/11022;male;1;man;Amsterdam;Haarlem;;-;Bosch, mw. H. van den;;
87483;rce_87483;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glazuur;;toegepaste kunst;kruik;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;kruik
87597;rce_87597;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;waterkruik;onbekend;;;;unknown;1;onbekend;;;Ber Negib[EG] N R Absciel[EG];-;Rijksmuseum Huis Lambert van Meerten;DELFT;kruik
87620;rce_87620;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;loodglazuur;;toegepaste kunst;baardmankruik;onbekend;;;;unknown;1;onbekend;;;Frechen[DE];Fragment van een baardmankruik;Rijksmuseum Huis Lambert van Meerten;DELFT;kruik
87664;rce_87664;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glazuur;;toegepaste kunst;schaal;onbekend;;;;unknown;1;onbekend;;;Iran;-;Rijksmuseum Huis Lambert van Meerten;DELFT;schaal
87750;rce_87750;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glazuur;;toegepaste kunst;kruik;onbekend;;;;unknown;1;onbekend;;;Raeren[BE];-;Rijksmuseum Huis Lambert van Meerten;DELFT;kruik
88379;rce_88379;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;merklap;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;textiel
88418;rce_88418;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;servet;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;tafelgoed
88423;rce_88423;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;donderglas;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88426;rce_88426;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;lood;emaille;toegepaste kunst;fles;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88429;rce_88429;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;wijnglas;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88439;rce_88439;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;fles;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88443;rce_88443;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;fles;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88446;rce_88446;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;drinkhoorn;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;schertsglas
88488;rce_88488;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88496;rce_88496;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;sculptuur;onbekend;;;;unknown;1;onbekend;;;;evangelist Johannes;Rijksmuseum Huis Lambert van Meerten;DELFT;beeldhouwkunst
88497;rce_88497;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;sculptuur;onbekend;;;;unknown;1;onbekend;;;;Maria;Rijksmuseum Huis Lambert van Meerten;DELFT;beeldhouwkunst
88504;rce_88504;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;smeedijzer;;toegepaste kunst;kist;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;meubel
88508;rce_88508;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kistfragment;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;meubel
88509;rce_88509;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;smeedijzer;;toegepaste kunst;kist;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88521;rce_88521;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;spiegellijst;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;interieuraccessoire
88522;rce_88522;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;beeld;onbekend;;;;unknown;1;onbekend;;;Nederland?;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88560;rce_88560;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;toog;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;beeldhouwkunst
88564;rce_88564;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;armstoel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;meubel
88570;rce_88570;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;;toegepaste kunst;tafel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;tafel
88571;rce_88571;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;ebbenhout;toegepaste kunst;tafel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;tafel
88580;rce_88580;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;email;cloisonné;toegepaste kunst;zakhorloge;onbekend;;;;unknown;1;onbekend;;;Europa;-;Rijksmuseum Huis Lambert van Meerten;DELFT;uurwerk
88600;rce_88600;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;inkt;;toegepaste kunst;vergunning;Johan van Oldenbarnevelt;;;;male;1;man;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;documentaire informatie
88707;rce_88707;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;drinkkan;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;kan
88790;rce_88790;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;blaaspijp;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;metaal
88821;rce_88821;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glas;hout;toegepaste kunst;schaakspel;onbekend;;;;unknown;1;onbekend;;;China;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88826;rce_88826;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;toegepaste kunst;tekening;Jan Luyken;;;;male;1;man;;;;De doop van Christus;Rijksmuseum Huis Lambert van Meerten;DELFT;werk op papier
88827;rce_88827;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;toegepaste kunst;tekening;Jan Luyken;;;;male;1;man;;;;Begrafenis van Jacob;Rijksmuseum Huis Lambert van Meerten;;werk op papier
88832;rce_88832;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;satijn;toegepaste kunst;textieldruk;Cornelis Immig en Zoon;;;;not applicable;1;niet van toepassing;;;;Kruisiging;Rijksmuseum Huis Lambert van Meerten;DELFT;prent
88867;rce_88867;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;paneel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
88880;rce_88880;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kruik;onbekend;;;;unknown;1;onbekend;;;;-;Rijksmuseum Huis Lambert van Meerten;DELFT;
94862;rce_94862;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;Binnenhuis, 't;1899;1929;;not applicable;1;niet van toepassing;Amsterdam;Amsterdam;Amsterdam;-;Haagen-Sablerolle, Elisabeth M. van der;ARNHEM;interieuraccessoire
95323;rce_95323;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt;papier;moderne kunst;schetsboek;Gestel, L.;1881-11-22;26-11-41;https://rkd.nl/explore/artists/31221;male;1;man;WOERDEN;Hilversum;;Blaricum 1936-37-38;Rijksacademie van Beeldende Kunsten (was legaat Gestel);Amsterdam;werk op papier
95324;rce_95324;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;moderne kunst;schetsboek;Gestel, L.;1881-11-22;26-11-41;https://rkd.nl/explore/artists/31221;male;1;man;WOERDEN;Hilversum;;Zonder titel;Rijksacademie van Beeldende Kunsten (was legaat Gestel);Amsterdam;werk op papier
96534;rce_96534;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;fluweel;;toegepaste kunst;pianokruk;Wall Perné, Gust van de;1877-05-18;27-12-11;https://rkd.nl/explore/artists/82635;male;1;man;APELDOORN;Amsterdam;;-;Haags Gemeentemuseum;Den Haag;kruk
96669;rce_96669;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;stof (textiel);toegepaste kunst;haardscherm;onbekend;;;;unknown;1;onbekend;;;;-;Haags Gemeentemuseum;Den Haag;meubel
96761;rce_96761;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;eikenhout;metaal;toegepaste kunst;kabinetkast;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;-;Haags Gemeentemuseum;Den Haag;kast
97099;rce_97099;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;hanglamp;Muntendam, J.A.;1882-02-02;1938-12;https://rkd.nl/explore/artists/58504;male;1;man;OUDEWATER;ARNHEM;;-;Nederlands Architectuurinstituut;Rotterdam;lamp
97430;rce_97430;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;paneel;;oude kunst;schilderij;Brueghel, J. (I);1568;1625-01-12;https://rkd.nl/explore/artists/13288;male;1;man;BRUSSEL;ANTWERPEN;Antwerpen[BE];Groot bouquet in houten kuip;Ministerie van OCenW;ZOETERMEER;bloemstilleven
97671;rce_97671;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;dierplastiek;onbekend;;;;unknown;1;onbekend;;;Frankrijk?;-;Stichting Nederlands Kunstbezit;RIJSWIJK;beeldhouwkunst
97915;rce_97915;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;metaal;;toegepaste kunst;geldkist;onbekend;;;;unknown;1;onbekend;;;;-;Domeinen;Leiden;meubel
99045;rce_99045;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;staalgravure;Lange, J.P.;1810-09-24;1849-10-29;https://rkd.nl/explore/artists/47903;male;1;man;Amsterdam;Amsterdam;;Frederika Louiza Wilhelmina van Pruisen (1774-1837), koningin der Nederlanden. Echtgenote van Koning Willem I;Rijksprentenkabinet;RIJSWIJK;prent
99355;rce_99355;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;vierdeurskast;onbekend;;;;unknown;1;onbekend;;;Noordnederland;-;Kunstmuseum Den Haag;Den Haag;meubel
99377;rce_99377;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;hek;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunstmuseum Den Haag;Den Haag;
99911;rce_99911;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;;-;Kunsthandel Van Iperen;Amsterdam;
99915;rce_99915;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Iperen;Amsterdam;meubel
99996;rce_99996;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;Hack, M.J.;1871;1939;https://rkd.nl/explore/artists/35074;male;1;man;Den Haag;VOORBURG;Nederland;-;Schuurman, Ir. H.Th.;Den Haag;interieuraccessoire
100053;rce_100053;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;gips;;toegepaste kunst;applique;onbekend;;;;unknown;1;onbekend;;;;-;Kunsthandel Beeling, A.C.;LEEUWARDEN;kandelaar
100057;rce_100057;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;gravure;Leveau, J.J.A.;1729-01-09;1786;;male;1;man;Rouen;PARIJS;;Le marechal de Campagne;Meulen, mw. W. van der;ZWITSERLAND;prent
100072;rce_100072;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;moderne kunst;sculptuur;Tromp Meesters, J.F.;1892-02-05;16-12-36;;male;1;man;STEENWIJK;MERANO;;-;Tromp Meesters, Dora en zuster;Amsterdam;beeldhouwkunst
100137;rce_100137;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;hout;;toegepaste kunst;schoorsteenmantel;onbekend;;;;unknown;1;onbekend;;;Nederland?;Schoorsteenmantel;Ministerie van Binnenlandse Zaken;;
100180;rce_100180;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Duitsland? Nederland?;-;Slangenburg, kasteel De;;
100182;rce_100182;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;koper;toegepaste kunst;commode;onbekend;;;;unknown;1;onbekend;;;;-;Slangenburg, kasteel De;;meubel
101094;rce_101094;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;inkt;oude kunst;boek;Blaeu, J.;1596-09-23;1673-12-28;;male;1;man;Amsterdam;Amsterdam;Amsterdam;Toonneel der Steden van de Vereenighde Nederlanden;Schotse Huizen coll. A. Oakes;VEERE;
101114;rce_101114;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;gravure;Pronk, C.;1691-12-10;1759-09-29;https://rkd.nl/explore/artists/64951;male;1;man;Amsterdam;Amsterdam;;De stad Tholen;Schotse Huizen coll. A. Oakes;VEERE;prent
